"","BioInf_Sample","Sample_name","SPECIMEN.CODE","COLLECTOR.NUMBER","SPECIES","Site","state","epithet","INDEX","Specimen.CODE","collectionNumber","Alt_Coll_No","LABEL_Species_author","Cleaned_NAMES-USE-THIS","Genus","Species_ept","collectionDate","collectors","Material.type","Received.by.MOR","country","state/province","substate","substateRank","site","habitat","associates","elevation","determinationOriginal","latitude.orig","longitude.orig","datum","Altitude","photos","Collecting_Extracting.notes","Project","voucher1","voucher2","voucher3","otherVouchers","Mira.used.for:","Wild_Arb_GH_Collected","country-georef","state_province_georef","County_georef","City_georef","EXTRACTION.LABELING"
"QUE002081","S021","OAK.MOR.001269","QUE002081","IL-MG602","Quercus stellata Wangenh. ?","Illinois","IL","stellata",2081,"QUE002081","IL-MG602",NA,"Quercus stellata Wangenh. ?","macrocarpa","Quercus","macrocarpa",42941,"Mira Garner, Sara Desmond","fresh, frozen","42943","USA","Illinois","Jackson","County","Oakwood Bottoms, Shawnee National Forest, Along State Rd 3",NA,NA,"392","Quercus stellata Wangenh.","37.514919999999996","-89.444500000000005",NA,"392 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus stellata Wangenh. ?, SPMCODE: QUE002081, collection#: IL-MG602"
"QUE002082","S022","OAK.MOR.001270","QUE002082","IL-MG603","Quercus macrocarpa Michx.","Illinois","IL","macrocarpa",2082,"QUE002082","IL-MG603",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42941,"Mira Garner, Sara Desmond","fresh, frozen","42943","USA","Illinois","Jackson","County","Oakwood Bottoms, Shawnee National Forest, Along State Rd 3",NA,NA,"388","Quercus macrocarpa Michx.","37.516390000000001","-89.445350000000005",NA,"388 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002082, collection#: IL-MG603"
"QUE002085","S023","OAK.MOR.001271","QUE002085","IN-MG606","Quercus macrocarpa Michx.","Indiana","IN","macrocarpa",2085,"QUE002085","IN-MG606",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42942,"Mira Garner, Sara Desmond","fresh, frozen","42943","USA","Indiana","Lawrence","County","Spring Mill State Park, Near trail/lake",NA,"Hickory, Quercus bicolor, Tulip Tree","550","Quercus macrocarpa Michx.","38.736199999999997","-86.412570000000002",NA,"550ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002085, collection#: IN-MG606"
"QUE002086","S024","OAK.MOR.001272","QUE002086","IN-MG607","Quercus bicolor Willd.","Indiana","IN","bicolor",2086,"QUE002086","IN-MG607",NA,"Quercus bicolor Willd.","muehlenbergii","Quercus","muehlenbergii",42942,"Mira Garner, Sara Desmond","fresh, frozen","42943","USA","Indiana","Lawrence","County","Spring Mill State Park, Trail 5","Along lake","Hickory, Quercus bicolor, Tulip Tree","550","Quercus bicolor Willd.","38.736249999999998","-86.412450000000007",NA,"550 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus bicolor Willd., SPMCODE: QUE002086, collection#: IN-MG607"
"QUE002091","S025","OAK.MOR.001273","QUE002091","IN-MG612","Quercus alba L.","Indiana","IN","alba",2091,"QUE002091","IN-MG612",NA,"Quercus alba L.",NA,"Quercus","alba",42942,"Mira Garner, Sara Desmond","fresh, frozen","42943","USA","Indiana","Lawrence","County","Spring Mill State Park, Trail 5",NA,"Hickory, Quercus bicolor, Tulip Tree","519","Quercus alba L.","38.736310000000003","-86.414339999999996",NA,"519 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002091, collection#: IN-MG612"
"QUE002098","S026","OAK.MOR.001274","QUE002098","IN-MG619","Quercus bicolor Willd.","Indiana","IN","bicolor",2098,"QUE002098","IN-MG619",NA,"Quercus bicolor Willd.",NA,"Quercus","bicolor",42942,"Mira Garner, Sara Desmond","fresh, frozen","42943","USA","Indiana","Lawrence","County","Spring Mill State Park, Roadside near Nature Center","Roadside","Hickory, Quercus bicolor, Tulip Tree","538","Quercus bicolor Willd.","38.737430000000003","-86.412629999999993",NA,"538 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus bicolor Willd., SPMCODE: QUE002098, collection#: IN-MG619"
"QUE002101","S027","OAK.MOR.001275","QUE002101","IN-MG622","Quercus bicolor Willd.","Indiana","IN","bicolor",2101,"QUE002101","IN-MG622",NA,"Quercus bicolor Willd.","muehlenbergii","Quercus","muehlenbergii",42943,"Mira Garner, Sara Desmond","fresh, frozen","42943","USA","Indiana","Grant","County","Taylor Wilderness, Taylor University, Off Eighth Street","Open woods, edge of woods",NA,"920","Quercus bicolor Willd.","40.458919999999999","-85.503829999999994",NA,"920 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus bicolor Willd., SPMCODE: QUE002101, collection#: IN-MG622"
"QUE002102","S028","OAK.MOR.001276","QUE002102","IN-MG623","Quercus macrocarpa Michx.","Indiana","IN","macrocarpa",2102,"QUE002102","IN-MG623",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42943,"Mira Garner, Sara Desmond","fresh, frozen","42943","USA","Indiana","Grant","County","Taylor Wilderness, Taylor University","Open woods, edge of woods",NA,"950","Quercus macrocarpa Michx.","40.459049999999998","-85.504109999999997",NA,"950 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002102, collection#: IN-MG623"
"QUE002105","S029","OAK.MOR.001277","QUE002105","IN-MG626","Quercus bicolor Willd.","Indiana","IN","bicolor",2105,"QUE002105","IN-MG626",NA,"Quercus bicolor Willd.",NA,"Quercus","bicolor",42943,"Mira Garner, Sara Desmond","fresh, frozen","42943","USA","Indiana","Grant","County","Taylor Wilderness, Taylor University","Open woods, edge of woods",NA,"868","Quercus bicolor Willd.","40.459159999999997","-85.508070000000004",NA,"868 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus bicolor Willd., SPMCODE: QUE002105, collection#: IN-MG626"
"QUE002108","S030","OAK.MOR.001278","QUE002108","IN-MG629","Quercus alba L.","Indiana","IN","alba",2108,"QUE002108","IN-MG629",NA,"Quercus alba L.",NA,"Quercus","alba",42943,"Mira Garner, Sara Desmond","fresh, frozen","42943","USA","Indiana","Grant","County","Taylor Wilderness, Taylor University","Open woods, edge of woods",NA,"907","Quercus alba L.","40.459110000000003","-85.509169999999997",NA,"907 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002108, collection#: IN-MG629"
