"","BioInf_Sample","Sample_name","SPECIMEN.CODE","COLLECTOR.NUMBER","SPECIES","Site","state","epithet","INDEX","Specimen.CODE","collectionNumber","Alt_Coll_No","LABEL_Species_author","Cleaned_NAMES-USE-THIS","Genus","Species_ept","collectionDate","collectors","Material.type","Received.by.MOR","country","state/province","substate","substateRank","site","habitat","associates","elevation","determinationOriginal","latitude.orig","longitude.orig","datum","Altitude","photos","Collecting_Extracting.notes","Project","voucher1","voucher2","voucher3","otherVouchers","Mira.used.for:","Wild_Arb_GH_Collected","country-georef","state_province_georef","County_georef","City_georef","EXTRACTION.LABELING"
"QUE002436","S068","OAK.MOR.001321","QUE002436","MN-MG773","Quercus macrocarpa Michx.","Minnesota","MN","macrocarpa",2436,"QUE002436","MN-MG773",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42975,"Mira Garner","fresh, frozen","42977","USA","Minnesota","Sterns","County","Quarry Park State Natural Area, Waite Park","Oak woods",NA,"1176","Quercus macrocarpa Michx.","45.529969999999999","-94.236440000000002",NA,"1176 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002436, collection#: MN-MG773"
"QUE002471","S069","OAK.MOR.001322","QUE002471","OH-MG808","Quercus macrocarpa Michx.","Ohio","OH","macrocarpa",2471,"QUE002471","OH-MG808",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42983,"Mira Garner, Lindsey Worcester","fresh, frozen","42985","USA","Ohio","Crawford","County","Daughmer Prairie Savannah State Nature Preserve","Bur oak savanna",NA,"985","Quercus macrocarpa Michx.","40.73122","-83.093279999999993",NA,"985 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002471, collection#: OH-MG808"
"QUE002480","S070","OAK.MOR.001323","QUE002480","OH-MG817","Quercus macrocarpa Michx.","Ohio","OH","macrocarpa",2480,"QUE002480","OH-MG817",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42984,"Mira Garner, Lindsey Worcester","fresh, frozen","42985","USA","Ohio","Fulton","County","Goll Woods State Nature Preserve","Woods","Quercus macrocarpa, Quercus alba, Quercus rubra, Fagus grandifolia, Acer saccharum, Asimina triloba, Carya ovata, Hamamelis, Ulmus, Toxicodendron radicans","983","Quercus macrocarpa Michx.","41.550690000000003","-84.359690000000001",NA,"983 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002480, collection#: OH-MG817"
"QUE002481","S071","OAK.MOR.001324","QUE002481","OH-MG818","Quercus muehlenbergii Engelm.","Ohio","OH","muehlenbergii",2481,"QUE002481","OH-MG818",NA,"Quercus muehlenbergii Engelm.",NA,"Quercus","muehlenbergii",42984,"Mira Garner, Lindsey Worcester","fresh, frozen","42985","USA","Ohio","Fulton","County","Goll Woods State Nature Preserve","Woods","Quercus macrocarpa, Quercus alba, Quercus rubra, Fagus grandifolia, Acer saccharum, Asimina triloba, Carya ovata, Hamamelis, Ulmus, Toxicodendron radicans","765","Quercus muehlenbergii Engelm.","41.550960000000003","-84.358459999999994",NA,"765 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus muehlenbergii Engelm., SPMCODE: QUE002481, collection#: OH-MG818"
"QUE002493","S072","OAK.MOR.001325","QUE002493","OH-MG830","Quercus alba L.","Ohio","OH","alba",2493,"QUE002493","OH-MG830",NA,"Quercus alba L.",NA,"Quercus","alba",42984,"Mira Garner, Lindsey Worcester","fresh, frozen","42985","USA","Ohio","Fulton","County","Goll Woods State Nature Preserve","Woods","Quercus macrocarpa, Quercus alba, Quercus rubra, Fagus grandifolia, Acer saccharum, Asimina triloba, Carya ovata, Hamamelis, Ulmus, Toxicodendron radicans","804","Quercus alba L.","41.552199999999999","-84.358949999999993",NA,"804 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002493, collection#: OH-MG830"
"QUE002526","S073","OAK.MOR.001326","QUE002526","IL-MG863","Quercus alba L.","Illinois","IL","alba",2526,"QUE002526","IL-MG863",NA,"Quercus alba L.",NA,"Quercus","alba",42991,"Mira Garner","fresh, frozen","42991","USA","Illinois","Lake","County","Ryerson Woods Conservation Area, Trail behind cabins",NA,NA,"665","Quercus alba L.","42.18327","-87.914259999999999",NA,"665 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002526, collection#: IL-MG863"
"QUE002527","S074","OAK.MOR.001327","QUE002527","IL-MG864","Quercus macrocarpa Michx.","Illinois","IL","macrocarpa",2527,"QUE002527","IL-MG864",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42991,"Mira Garner","fresh, frozen","42991","USA","Illinois","Lake","County","Ryerson Woods Conservation Area, Trail behind cabins",NA,NA,"654","Quercus macrocarpa Michx.","42.18403","-87.915940000000006",NA,"654 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002527, collection#: IL-MG864"
"QUE002528","S075","OAK.MOR.001328","QUE002528","IL-MG865","Quercus bicolor Willd.","Illinois","IL","bicolor",2528,"QUE002528","IL-MG865",NA,"Quercus bicolor Willd.",NA,"Quercus","bicolor",42991,"Mira Garner","fresh, frozen","42991","USA","Illinois","Lake","County","Ryerson Woods Conservation Area, Trail behind cabins",NA,NA,"657","Quercus bicolor Willd.","42.184310000000004","-87.91628",NA,"657 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus bicolor Willd., SPMCODE: QUE002528, collection#: IL-MG865"
"QUE002535","S076","OAK.MOR.001329","QUE002535","IL-MG872","Quercus alba L.","Illinois","IL","alba",2535,"QUE002535","IL-MG872",NA,"Quercus alba L.",NA,"Quercus","alba",42992,"Mira Garner","fresh, frozen","42992","USA","Illinois","DuPage","County","Fullersburg Woods Nature Preserve",NA,NA,"645","Quercus alba L.","41.825189999999999","-87.930850000000007",NA,"645 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002535, collection#: IL-MG872"
"QUE002536","S077","OAK.MOR.001330","QUE002536","IL-MG873","Quercus macrocarpa Michx.","Illinois","IL","macrocarpa",2536,"QUE002536","IL-MG873",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42992,"Mira Garner","fresh, frozen","42992","USA","Illinois","DuPage","County","Fullersburg Woods Nature Preserve",NA,NA,"689","Quercus macrocarpa Michx.","41.826430000000002","-87.931139999999999",NA,"689 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002536, collection#: IL-MG873"
"QUE002539","S078","OAK.MOR.001331","QUE002539","IL-MG876","Quercus bicolor Willd.","Illinois","IL","bicolor",2539,"QUE002539","IL-MG876",NA,"Quercus bicolor Willd.",NA,"Quercus","bicolor",42992,"Mira Garner","fresh, frozen","42992","USA","Illinois","DuPage","County","Fullersburg Woods Nature Preserve",NA,NA,"653","Quercus bicolor Willd.","41.824449999999999","-87.933340000000001",NA,"653 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus bicolor Willd., SPMCODE: QUE002539, collection#: IL-MG876"
"QUE002574","S079","OAK.MOR.001332","QUE002574","JCB-SD-CSP-1005","Quercus macrocarpa Michx.","South Dakota","SD","macrocarpa",97,"QUE002574","JCB-SD-CSP-1005",NA,"Quercus macrocarpa",NA,"Quercus","macrocarpa",NA,"Jeannine Cavender-Bares","fresh, frozen","42969","USA","South Dakota","Custer","County","Custer State Park driving eastward towards Hermosa on US16 Alt-W",NA,NA,NA,NA,"43.77","-103.41","AH guess; 2/4/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QUE002579","S080","OAK.MOR.001333","QUE002579","JCB-SD-US16-1010","Quercus macrocarpa Michx.","South Dakota","SD","macrocarpa",98,"QUE002579","JCB-SD-US16-1010",NA,"Quercus macrocarpa",NA,"Quercus","macrocarpa",NA,"Jeannine Cavender-Bares","fresh, frozen","42969","USA","South Dakota","Custer","County",NA,NA,NA,NA,NA,"43.77","-103.41","AH guess; 2/4/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QUE002585","S081","OAK.MOR.001334","QUE002585","JCB-SD-SPF-1016","Quercus macrocarpa Michx.","South Dakota","SD","macrocarpa",99,"QUE002585","JCB-SD-SPF-1016",NA,"Quercus macrocarpa",NA,"Quercus","macrocarpa",NA,"Jeannine Cavender-Bares","fresh, frozen","42969","USA","South Dakota","Custer","County",NA,NA,NA,NA,NA,"43.77","-103.41","AH guess; 2/4/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QUE002589","S082","OAK.MOR.001335","QUE002589","JCB-SD-SPF-1020","Quercus macrocarpa Michx.","South Dakota","SD","macrocarpa",100,"QUE002589","JCB-SD-SPF-1020",NA,"Quercus macrocarpa",NA,"Quercus","macrocarpa",NA,"Jeannine Cavender-Bares","fresh, frozen","42969","USA","South Dakota","Custer","County",NA,NA,NA,NA,NA,"43.77","-103.41","AH guess; 2/4/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QUE002363","S083","OAK.MOR.001336","QUE002363","WI-MG700","Quercus alba L.","Wisconsin","WI","alba",2363,"QUE002363","WI-MG700",NA,"Quercus alba L.",NA,"Quercus","alba",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Cox Hollow Campground","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1180","Quercus alba L.","43.016280000000002","-90.113290000000006",NA,"1180 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002363, collection#: WI-MG700"
"QUE002364","S084","OAK.MOR.001337","QUE002364","WI-MG701","Quercus macrocarpa Michx.","Wisconsin","WI","macrocarpa",2364,"QUE002364","WI-MG701",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Cox Hollow Campground","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1105","Quercus macrocarpa Michx.","43.01643","-90.114180000000005",NA,"1105 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002364, collection#: WI-MG701"
"QUE002365","S085","OAK.MOR.001338","QUE002365","WI-MG702","Quercus macrocarpa Michx.","Wisconsin","WI","macrocarpa",2365,"QUE002365","WI-MG702",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Cox Hollow Campground","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1110","Quercus macrocarpa Michx.","43.016419999999997","-90.114230000000006",NA,"1110 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002365, collection#: WI-MG702"
"QUE002366.1","S086","OAK.MOR.001339","QUE002366","WI-MG703","Quercus alba L.","Wisconsin","WI","alba",2366,"QUE002366","WI-MG703",NA,"Quercus alba L.",NA,"Quercus","alba",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Cox Hollow Campground","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1153","Quercus alba L.","43.016759999999998","-90.114189999999994",NA,"1153 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002366, collection#: WI-MG703"
"QUE002367.1","S087","OAK.MOR.001340","QUE002367","WI-MG704","Quercus macrocarpa Michx.","Wisconsin","WI","macrocarpa",2367,"QUE002367","WI-MG704",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Cox Hollow Campground","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1133","Quercus macrocarpa Michx.","43.016849999999998","-90.114810000000006",NA,"1133 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002367, collection#: WI-MG704"
"QUE002368","S088","OAK.MOR.001341","QUE002368","WI-MG705","Quercus macrocarpa Michx.","Wisconsin","WI","macrocarpa",2368,"QUE002368","WI-MG705",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Cox Hollow Campground","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1172","Quercus macrocarpa Michx.","43.019930000000002","-90.115870000000001",NA,"1172 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002368, collection#: WI-MG705"
"QUE002369","S089","OAK.MOR.001342","QUE002369","WI-MG706","Quercus macrocarpa Michx.","Wisconsin","WI","macrocarpa",2369,"QUE002369","WI-MG706",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Cox Hollow Campground","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1195","Quercus macrocarpa Michx.","43.021279999999997","-90.116950000000003",NA,"1195 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002369, collection#: WI-MG706"
"QUE002370","S090","OAK.MOR.001343","QUE002370","WI-MG707","Quercus alba L.","Wisconsin","WI","alba",2370,"QUE002370","WI-MG707",NA,"Quercus alba L.",NA,"Quercus","alba",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Lost Canyon Trail","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1201","Quercus macrocarpa Michx.","43.02158","-90.118099999999998",NA,"1201 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002370, collection#: WI-MG707"
"QUE002371","S091","OAK.MOR.001344","QUE002371","WI-MG708","Quercus macrocarpa Michx.","Wisconsin","WI","macrocarpa",2371,"QUE002371","WI-MG708",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Lost Canyon Trail","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1172","Quercus macrocarpa Michx.","43.02073","-90.117710000000002",NA,"1172 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002371, collection#: WI-MG708"
"QUE002373","S092","OAK.MOR.001345","QUE002373","WI-MG710","Quercus macrocarpa Michx.","Wisconsin","WI","macrocarpa",2373,"QUE002373","WI-MG710",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Lost Canyon Trail","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1158","Quercus macrocarpa Michx.","43.019300000000001","-90.116919999999993",NA,"1158 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002373, collection#: WI-MG710"
"QUE002374","S093","OAK.MOR.001346","QUE002374","WI-MG711","Quercus macrocarpa Michx.","Wisconsin","WI","macrocarpa",2374,"QUE002374","WI-MG711",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Lost Canyon Trail","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1177","Quercus macrocarpa Michx.","43.018279999999997","-90.117009999999993",NA,"1177 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002374, collection#: WI-MG711"
"QUE002375","S094","OAK.MOR.001347","QUE002375","WI-MG712","Quercus alba L.","Wisconsin","WI","alba",2375,"QUE002375","WI-MG712",NA,"Quercus alba L.",NA,"Quercus","alba",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Lost Canyon Trail","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1104","Quercus alba L.","43.018169999999998","-90.116789999999995",NA,"1104 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002375, collection#: WI-MG712"
